date,code,peTTM
2021-09-30,sz.002486,-63.21063
2021-09-30,sz.300471,-62.773029
2021-09-30,sz.000668,-62.457064
2021-09-30,sz.002265,-62.434836
2021-09-30,sh.600100,-61.122723
2021-09-30,sh.600791,-58.788843
2021-09-30,sz.300495,-58.201377
2021-09-30,sz.300247,-57.871124
2021-09-30,sh.600242,-57.835923
2021-09-30,sz.300807,-55.129149
2021-09-30,sz.300326,-54.952413
2021-09-30,sz.300795,-54.683961
2021-09-30,sh.600275,-54.158268
2021-09-30,sh.603729,-53.815024
2021-09-30,sz.300375,-53.771106
2021-09-30,sz.002239,-53.654434
2021-09-30,sz.300069,-53.638233
2021-09-30,sz.300084,-53.282668
2021-09-30,sh.600689,-52.7703
2021-09-30,sz.002789,-52.713723
2021-09-30,sh.600009,-52.58314
2021-09-30,sz.000679,-52.486621
2021-09-30,sz.300752,-52.400202
2021-09-30,sh.600652,-52.339398
2021-09-30,sz.300405,-52.068835
2021-09-30,sh.600004,-51.671867
2021-09-30,sz.002550,-51.395259
2021-09-30,sh.688256,-51.030539
2021-09-30,sz.300204,-50.369483
2021-09-30,sh.603536,-50.099904
2021-09-30,sh.600250,-49.774997
2021-09-30,sh.600890,-49.724586
2021-09-30,sh.688578,-49.620928
2021-09-30,sh.688177,-48.245967
2021-09-30,sh.688180,-46.494928
2021-09-30,sz.000031,-46.047811
2021-09-30,sh.600695,-45.762245
2021-09-30,sh.600119,-45.490366
2021-09-30,sh.601127,-45.296207
2021-09-30,sz.002447,-44.984092
2021-09-30,sz.000678,-44.651633
2021-09-30,sh.688538,-43.883397
2021-09-30,sz.000502,-43.852501
2021-09-30,sh.688266,-42.635104
2021-09-30,sz.002780,-42.016802
2021-09-30,sh.603099,-41.928462
2021-09-30,sh.603169,-41.853492
2021-09-30,sh.600983,-41.59569
2021-09-30,sz.300086,-41.409285
2021-09-30,sz.300055,-41.276716
2021-09-30,sz.000558,-41.228403
2021-09-30,sh.601113,-41.106526
2021-09-30,sz.002633,-40.931598
2021-09-30,sz.000876,-40.677353
2021-09-30,sz.300083,-39.912549
2021-09-30,sz.300530,-39.648623
2021-09-30,sz.000659,-39.161019
2021-09-30,sz.000430,-39.152824
2021-09-30,sh.600303,-38.988659
2021-09-30,sz.300093,-38.810282
2021-09-30,sz.300469,-38.744468
2021-09-30,sh.688108,-38.50148
2021-09-30,sh.603177,-37.984341
2021-09-30,sz.000809,-37.350707
2021-09-30,sz.002437,-36.736465
2021-09-30,sz.300264,-36.614305
2021-09-30,sz.002898,-36.192144
2021-09-30,sz.000014,-35.685707
2021-09-30,sz.002583,-35.534866
2021-09-30,sz.000611,-34.923847
2021-09-30,sh.600593,-34.893044
2021-09-30,sz.000545,-34.825111
2021-09-30,sz.002211,-34.50359
2021-09-30,sh.601798,-34.400684
2021-09-30,sz.002535,-34.083523
2021-09-30,sz.300150,-34.05223
2021-09-30,sz.300029,-33.865578
2021-09-30,sh.600405,-33.544956
2021-09-30,sh.600410,-33.489793
2021-09-30,sz.300195,-33.40115
2021-09-30,sz.300097,-33.186995
2021-09-30,sh.688165,-33.087599
2021-09-30,sh.601099,-32.876799
2021-09-30,sz.002305,-32.586621
2021-09-30,sz.000965,-31.881232
2021-09-30,sh.601595,-31.658153
2021-09-30,sz.000078,-31.644099
2021-09-30,sh.600579,-31.608567
2021-09-30,sz.300139,-31.525547
2021-09-30,sh.603778,-31.393135
2021-09-30,sz.002069,-31.296127
2021-09-30,sh.603779,-31.24913
2021-09-30,sh.601933,-31.155811
2021-09-30,sz.002656,-31.13215
2021-09-30,sz.300220,-31.051396
2021-09-30,sz.300153,-31.025099
2021-09-30,sz.300006,-30.577914
2021-09-30,sz.000592,-30.573874
2021-09-30,sh.688159,-30.518231
2021-09-30,sh.603007,-30.474745
2021-09-30,sz.002329,-30.265175
2021-09-30,sz.300043,-30.092534
2021-09-30,sz.300052,-29.99465
2021-09-30,sh.601727,-29.864622
2021-09-30,sz.300426,-29.630429
2021-09-30,sh.688221,-29.575199
