date,code,pbMRQ
2021-09-30,sh.600216,1.926512
2021-09-30,sh.600217,3.220181
2021-09-30,sh.600218,2.419670
2021-09-30,sh.600219,1.266602
2021-09-30,sh.600220,2.110150
2021-09-30,sh.600221,-1.182274
2021-09-30,sh.600222,2.836042
2021-09-30,sh.600223,4.148352
2021-09-30,sh.600225,-0.681480
2021-09-30,sh.600226,2.422051
2021-09-30,sh.600227,1.763022
2021-09-30,sh.600228,16.369193
2021-09-30,sh.600229,1.429221
2021-09-30,sh.600230,1.790499
2021-09-30,sh.600231,1.000726
2021-09-30,sh.600232,1.792734
2021-09-30,sh.600233,2.543478
2021-09-30,sh.600234,20.740286
2021-09-30,sh.600235,1.278907
2021-09-30,sh.600236,3.970524
2021-09-30,sh.600237,2.772254
2021-09-30,sh.600238,14.838802
2021-09-30,sh.600239,6.166183
2021-09-30,sh.600241,2.184911
2021-09-30,sh.600242,2.218903
2021-09-30,sh.600243,2.001691
2021-09-30,sh.600246,2.937901
2021-09-30,sh.600248,1.301871
2021-09-30,sh.600249,1.257650
2021-09-30,sh.600250,1.638253
2021-09-30,sh.600251,2.828060
2021-09-30,sh.600252,1.681886
2021-09-30,sh.600255,3.215807
2021-09-30,sh.600256,3.205463
2021-09-30,sh.600257,2.975847
2021-09-30,sh.600258,2.650851
2021-09-30,sh.600259,9.034531
2021-09-30,sh.600260,2.522199
2021-09-30,sh.600261,1.517306
2021-09-30,sh.600262,1.859160
2021-09-30,sh.600265,54.212032
2021-09-30,sh.600266,0.485625
2021-09-30,sh.600267,2.142560
2021-09-30,sh.600268,3.044408
2021-09-30,sh.600269,0.524731
2021-09-30,sh.600271,1.743038
2021-09-30,sh.600272,3.219392
2021-09-30,sh.600273,1.844885
2021-09-30,sh.600275,45.998259
2021-09-30,sh.600276,9.801386
2021-09-30,sh.600277,0.841746
2021-09-30,sh.600278,1.001133
2021-09-30,sh.600279,0.785081
2021-09-30,sh.600280,3.696913
2021-09-30,sh.600281,6.955184
2021-09-30,sh.600282,1.002294
2021-09-30,sh.600283,2.016228
2021-09-30,sh.600284,0.907480
2021-09-30,sh.600285,2.857156
2021-09-30,sh.600287,0.772961
2021-09-30,sh.600288,2.934677
2021-09-30,sh.600289,1.362210
2021-09-30,sh.600290,2.863579
2021-09-30,sh.600291,2.724339
2021-09-30,sh.600292,1.312832
2021-09-30,sh.600293,2.355638
2021-09-30,sh.600295,3.635250
2021-09-30,sh.600297,0.594832
2021-09-30,sh.600298,6.399080
2021-09-30,sh.600299,2.306033
2021-09-30,sh.600300,1.960814
2021-09-30,sh.600301,8.678270
2021-09-30,sh.600302,1.269435
2021-09-30,sh.600303,0.847842
2021-09-30,sh.600305,6.254333
2021-09-30,sh.600306,-10.289619
2021-09-30,sh.600307,1.204777
2021-09-30,sh.600308,0.938746
2021-09-30,sh.600309,5.797552
2021-09-30,sh.600310,3.590488
2021-09-30,sh.600311,8.759501
2021-09-30,sh.600312,1.485721
2021-09-30,sh.600313,3.452084
2021-09-30,sh.600315,4.464814
2021-09-30,sh.600316,5.180662
2021-09-30,sh.600318,2.405312
2021-09-30,sh.600319,64.666476
2021-09-30,sh.600320,1.516635
2021-09-30,sh.600321,1.588526
2021-09-30,sh.600322,1.029675
2021-09-30,sh.600323,2.419124
2021-09-30,sh.600325,0.742559
2021-09-30,sh.600326,1.391462
2021-09-30,sh.600327,1.450508
2021-09-30,sh.600328,3.038601
2021-09-30,sh.600329,3.285892
2021-09-30,sh.600330,2.159100
2021-09-30,sh.600331,31.596290
2021-09-30,sh.600332,1.742975
2021-09-30,sh.600333,1.954464
2021-09-30,sh.600335,0.777165
2021-09-30,sh.600336,1.997013
2021-09-30,sh.600337,1.214085
2021-09-30,sh.600338,12.878574
2021-09-30,sh.600339,0.728352
2021-09-30,sh.600340,0.442141
2021-09-30,sh.600343,2.981250
2021-09-30,sh.600345,1.560059
2021-09-30,sh.600346,3.655869
2021-09-30,sh.600348,1.671092
2021-09-30,sh.600350,0.963001
2021-09-30,sh.600351,1.974345
2021-09-30,sh.600352,1.481291
2021-09-30,sh.600353,2.454541
2021-09-30,sh.600354,5.159848
2021-09-30,sh.600355,5.514952
2021-09-30,sh.600356,0.970464
2021-09-30,sh.600358,12.236427
2021-09-30,sh.600359,6.057011
2021-09-30,sh.600360,2.471487
2021-09-30,sh.600361,1.593938
2021-09-30,sh.600362,1.268146
2021-09-30,sh.600363,4.645301
2021-09-30,sh.600365,4.180639
2021-09-30,sh.600366,2.193758
2021-09-30,sh.600367,3.649317
2021-09-30,sh.600368,0.896851
2021-09-30,sh.600369,1.356367
2021-09-30,sh.600370,2.383627
2021-09-30,sh.600371,6.074096
2021-09-30,sh.600372,2.941291
2021-09-30,sh.600373,0.901478
2021-09-30,sh.600375,2.294720
2021-09-30,sh.600376,0.493262
2021-09-30,sh.600377,1.489468
2021-09-30,sh.600378,4.296886
2021-09-30,sh.600379,7.608941
2021-09-30,sh.600380,1.908379
2021-09-30,sh.600381,2.122209
2021-09-30,sh.600382,0.432440
2021-09-30,sh.600383,0.906205
2021-09-30,sh.600385,79.178644
2021-09-30,sh.600386,1.600489
2021-09-30,sh.600387,0.798879
2021-09-30,sh.600388,1.497470
2021-09-30,sh.600389,6.432909
2021-09-30,sh.600390,0.629675
2021-09-30,sh.600391,4.571690
2021-09-30,sh.600392,4.291873
2021-09-30,sh.600393,0.726425
2021-09-30,sh.600395,2.280014
2021-09-30,sh.600396,2.363329
2021-09-30,sh.600397,5.771761
2021-09-30,sh.600398,2.213623
2021-09-30,sh.600399,7.850061
2021-09-30,sh.600400,2.181028
2021-09-30,sh.600403,1.656373
